заступник головного інженера,Заступники
заступник директора,Заступники
заступник начальника,Заступники
заступник начальника відділу,Заступники
заступник начальника інше,Заступники
заступник начальника служби,Заступники
заступник начальника станції,Заступники
заступник начальника установи,Заступники
заступник начальника філії,Заступники
заступник начальника цеху,Заступники
аудитор,"Інспектори, інші перевіряючі"
інспектор,"Інспектори, інші перевіряючі"
інспектор головний,"Інспектори, інші перевіряючі"
інспектор державний,"Інспектори, інші перевіряючі"
інспектор молодший,"Інспектори, інші перевіряючі"
інспектор провідний,"Інспектори, інші перевіряючі"
оперуповноважений,"Інспектори, інші перевіряючі"
оперуповноважений старший,"Інспектори, інші перевіряючі"
ветлікар,Медицина
лікар,Медицина
лікар головний,Медицина
медсестра,Медицина
ординатор,Медицина
фельдшер,Медицина
бухгалтер головний,"Менеджери, управителі"
виконавець головний державний,"Менеджери, управителі"
голова комісії,"Менеджери, управителі"
голова комітету/підкомітету ВР,"Менеджери, управителі"
голова правління,"Менеджери, управителі"
державний реєстратор,"Менеджери, управителі"
директор,"Менеджери, управителі"
завідувач,"Менеджери, управителі"
завідувач аптекою,"Менеджери, управителі"
завідувач ветлікарнею,"Менеджери, управителі"
завідувач лабораторією,"Менеджери, управителі"
завідувач сектору,"Менеджери, управителі"
інженер головний,"Менеджери, управителі"
майстер шляховий,"Менеджери, управителі"
менеджер,"Менеджери, управителі"
механік головний,"Менеджери, управителі"
начальник виправної колоноії,"Менеджери, управителі"
начальник відділу/управління (військові частини зсу),"Менеджери, управителі"
начальник відділу/управління (КП),"Менеджери, управителі"
начальник відділу/управління (міністерства),"Менеджери, управителі"
начальник відділу/управління (місцеве самоврядування),"Менеджери, управителі"
начальник відділу/управління (нбу пфу аму),"Менеджери, управителі"
начальник відділу/управління (пфу),"Менеджери, управителі"
начальник відділу/управління (укрзалізниця),"Менеджери, управителі"
начальник відділу/управління (центри зайнятості),"Менеджери, управителі"
начальник караулу (дснс),"Менеджери, управителі"
начальник конвою (гупн),"Менеджери, управителі"
начальник пожежно рятувальної частини,"Менеджери, управителі"
начальник поїзда,"Менеджери, управителі"
начальник рятувального відділення (дснс),"Менеджери, управителі"
начальник сектору (гупн),"Менеджери, управителі"
начальник станції (укрзалізниця),"Менеджери, управителі"
начальник чергової зміни (дснс),"Менеджери, управителі"
старший майстер,"Менеджери, управителі"
голова міський,Місцеве самоврядування
голова райради,Місцеве самоврядування
голова РДА,Місцеве самоврядування
голова сільський/селищний,Місцеве самоврядування
депутат,Місцеве самоврядування
заступник голови інше,Місцеве самоврядування
заступник голови райради,Місцеве самоврядування
заступник голови РДА,Місцеве самоврядування
заступник міського голови,Місцеве самоврядування
заступник сільського/селищного голови,Місцеве самоврядування
керуючий справами,Місцеве самоврядування
радник голови,Місцеве самоврядування
секретар ради,Місцеве самоврядування
староста,Місцеве самоврядування
голова інше,Начальники
викладач,Освіта
викладач старший,Освіта
вихователь,Освіта
вчитель,Освіта
доцент,Освіта
проректор,Освіта
професор,Освіта
ректор,Освіта
військовий комісар,"Правоохороні органи, армія"
військовослужбовець,"Правоохороні органи, армія"
заступник командира батальйону,"Правоохороні органи, армія"
заступник командира взводу,"Правоохороні органи, армія"
заступник командира військової частини,"Правоохороні органи, армія"
заступник командира дивізіону,"Правоохороні органи, армія"
заступник командира інше,"Правоохороні органи, армія"
заступник командира роти,"Правоохороні органи, армія"
заступник начальника штабу,"Правоохороні органи, армія"
інспектор роти,"Правоохороні органи, армія"
командир,"Правоохороні органи, армія"
офіцер,"Правоохороні органи, армія"
офіцер поліції,"Правоохороні органи, армія"
офіцер старший,"Правоохороні органи, армія"
поліцейський,"Правоохороні органи, армія"
прокурор,Судова система
сержант,"Правоохороні органи, армія"
слідчий,"Правоохороні органи, армія"
старший офіцер поліції,"Правоохороні органи, армія"
старшина,"Правоохороні органи, армія"
бібліотекар,Професіонали
бухгалтер,Професіонали
виконавець державний,Професіонали
відповідальний виконавець,Професіонали
детектив,Професіонали
документознавець,Професіонали
економіст,Професіонали
експерт,Професіонали
експерт головний,Професіонали
експерт державний,Професіонали
інженер,Професіонали
науковий співробітник,Професіонали
провідний консультант адміністратор,Професіонали
радник мзс,Професіонали
радник посольства,Професіонали
хімік,Професіонали
юрисконсульт,Професіонали
юрист,Професіонали
бригадир,Робітники
бригадир колії,Робітники
водій,Робітники
комірник,Робітники
помічник чергового,Робітники
слюсар,Робітники
пожежний-рятувальник,Рятувальники
рятувальник,Рятувальники
старший рятувальник,Рятувальники
агроном,Сільське та лісове гос-во
голова фермерського г-ва,Сільське та лісове гос-во
єгер,Сільське та лісове гос-во
лісничий,Сільське та лісове гос-во
майстер лісу,Сільське та лісове гос-во
помічник лісничого,Сільське та лісове гос-во
старший майстер лісу,Сільське та лісове гос-во
соціальний працівник,Спеціалісти
спеціаліст,Спеціалісти
спеціаліст головний,Спеціалісти
голова суду,Судова система
заступник голови суду,Судова система
присяжний,Судова система
секретар суду,Судова система
суддя,Судова система
судовий розпорядник,Судова система
архіваріус,Технічні службовці
касир,Технічні службовці
радіотелеграфіст,Технічні службовці
секретар,Технічні службовці
тальман,Технічні службовці
тракторист,Технічні службовці
черговий,Технічні службовці
черговий по станції,Технічні службовці
агент комерційний,Фахівці
адміністратор,Фахівці
диспетчер,Фахівці
діловод,Фахівці
електромеханік,Фахівці
енергетик,Фахівці
заступник головного бухгалтера,Фахівці
землевпорядник,Фахівці
кадастровий реєстратор,Фахівці
казначей,Фахівці
майстер,Фахівці
механік,Фахівці
психолог,Фахівці
сапер,Фахівці
технік,Фахівці
фахівець,Фахівці
фахівець головний,Фахівці
штурман,Фахівці
